@RELATION emotion
@ATTRIBUTE term	string
@ATTRIBUTE noun {true,false}
@ATTRIBUTE verb {true,false}
@ATTRIBUTE adjective {true,false}
@ATTRIBUTE adverb {true,false}
@ATTRIBUTE title-word {true,false}
@ATTRIBUTE repeat-word {true,false}
@ATTRIBUTE lastline {true,false}
@ATTRIBUTE  negation{true,false}
@ATTRIBUTE simile {true,false}
@ATTRIBUTE metaphore {true,false}
@ATTRIBUTE concept string 
@ATTRIBUTE class 	{anger,hate,joy,sad,love,courage,surprise,fear,peace}
@DATA
flare,true,false,false,false,false,false,false,false,false,false,CHANGE,love
light,true,false,false,false,false,false,false,false,false,false,CHANGE,love
light,true,false,false,false,false,false,false,false,false,false,CHANGE,love
sun,true,false,false,false,false,false,false,false,false,false,CHANGE,love
die,true,false,false,false,false,false,false,true,false,false,CHANGE,love
ear,true,false,false,false,false,false,false,false,false,false,CHANGE,love
cry,true,false,false,false,false,false,false,false,false,false,CHANGE,love
seraph,true,false,false,false,false,false,false,false,false,false,CHANGE,love
star,true,false,false,false,false,false,false,false,false,false,CHANGE,love
form,true,false,false,false,false,false,false,false,false,false,CHANGE,love
god,true,false,false,false,false,false,false,false,false,false,CHANGE,love
eye,true,false,false,false,false,false,false,false,false,false,CHANGE,love
cast,true,false,false,false,false,false,false,false,false,false,CHANGE,love
veil,true,false,false,false,false,false,false,false,false,false,CHANGE,love
soul,true,false,false,false,false,false,false,false,false,false,CHANGE,love
virtue,true,false,false,false,false,false,false,false,false,false,CHANGE,love
sin,true,false,false,false,false,false,false,false,false,false,CHANGE,love
clamour,true,false,false,false,false,false,true,false,false,false,CHANGE,love
glamour,true,false,false,false,false,false,true,false,false,false,CHANGE,love
thole,true,false,false,false,false,false,true,false,false,false,CHANGE,love
invitation,true,false,false,false,true,false,false,false,false,false,CHANGE,courage
wind,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
weather,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
round,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
hill,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
moorland,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
climb,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
brook,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
tramp,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
snow,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
circle,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
citie,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
door,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
wall,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
dwell,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
god,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
welkin,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
wind,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
storm,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
rebel,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
sport,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
solitude,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
region,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
misadventure,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
friend,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
upland,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
ascend,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
lord,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
tempest,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
mountain,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
spirit,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
freedom,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
pride,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
kinsman,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
danger,true,false,false,false,false,false,false,false,false,false,CHANGE,courage
share,true,false,false,false,false,false,true,false,false,false,CHANGE,courage
kingdom,true,false,false,false,false,false,true,false,false,false,CHANGE,courage
side,true,false,false,false,false,false,true,false,false,false,CHANGE,courage
miracle,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
birth,true,false,false,false,true,false,true,false,false,false,CHANGE,peace
saw,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
soul,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
traveller,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
time,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
life,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
life,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
way,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
depth,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
height,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
worm,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
god,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
fire,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
house,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
matter,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
unborn,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
inconscient,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
night,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
flame,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
seed,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thing,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
life,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thought,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
shape,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
inanimate,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
earth,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
move,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
somnambulist,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
nature,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
sleep,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
creature,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
hope,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
love,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
step,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
miracle,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
birth,true,false,false,false,true,false,true,false,false,false,CHANGE,peace
mid,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
mire,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
stone,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
thou,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
art,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
thou,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
art,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
soul,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
yearn,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
bear,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
mystic,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
touch,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
burden,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
ecstasy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
eye,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
secret,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
voice,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
magic,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
tune,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
sweetness,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
haunt,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
heart,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
nature,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
way,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
beat,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
body,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thing,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
joy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
leaf,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
stone,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
moment,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
fiery,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
wing,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
sight,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
artistry,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thou,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
time,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
voyage,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
prow,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
future,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
hope,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
thou,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
field,true,false,false,false,true,false,false,false,false,false,CHANGE,joy
ether,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
pretence,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
vault,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
royaler,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
investiture,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
assault,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
emerald,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
rapture,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
tear,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
dew,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
space,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
cerulean,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
hue,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
reach,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
field,true,false,false,false,true,false,false,false,false,false,CHANGE,joy
fault,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
earth,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
stream,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
halt,true,false,false,false,false,false,false,true,false,false,CHANGE,joy
murmur,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
flower,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
star,true,false,false,false,false,false,false,false,true,false,CHANGE,joy
strip,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
sky,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
world,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
stuff,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
tissue,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
earth,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
grace,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
walk,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
god,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
sip,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
hebe,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
cup,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
nectar,true,false,false,false,false,false,false,false,false,false,CHANGE,joy
limb,true,false,false,false,false,false,true,false,false,false,CHANGE,joy
face,true,false,false,false,false,false,true,false,false,false,CHANGE,joy
light,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
light,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
brain,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
room,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
mind,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
reply,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
wisdom,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
occult,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
plane,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
illumination,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
flame,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
light,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
throat,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
speech,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
tune,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
note,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
word,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
wine,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
light,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
heart,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
life,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
eternity,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
temple,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thou,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
art,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
passion,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
point,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
light,true,false,false,false,true,false,false,false,false,false,CHANGE,peace
fee,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
earth,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
playfield,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,peace
seat,true,false,false,false,false,false,true,false,false,false,CHANGE,peace
evolution,true,false,false,false,true,false,false,false,false,false,LIFE,surprise
lucent,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
abode,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
saw,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
mirror,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
force,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
unhasting,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
spiral,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
road,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
earth,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
cradle,true,false,false,false,false,false,false,false,false,true,LIFE,surprise
god,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
man,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
sign,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
transition,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
matter,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
sleep,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
load,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
life,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
death,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
spirit,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
light,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
mind,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
swam,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
light,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
ocean,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
life,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
line,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
saw,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
matter,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
illumining,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
parent,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
night,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
soul,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
feel,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
infinity,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
cast,true,false,false,false,false,false,false,false,false,false,LIFE,surprise
heart,true,false,false,false,false,false,true,false,false,false,LIFE,surprise
incarnadine,true,false,false,false,false,false,true,false,false,false,LIFE,surprise
bande,true,false,false,false,true,false,false,false,false,false,WOMAN,love
mataram,true,false,false,false,true,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
bow,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thee,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
stream,true,false,false,false,false,true,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
orchard,true,false,false,false,false,true,false,false,false,false,WOMAN,love
gleam,true,false,false,false,false,true,false,false,false,false,WOMAN,love
cool,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
wind,true,false,false,false,false,false,false,false,false,false,WOMAN,love
delight,true,false,false,false,false,false,false,false,false,false,WOMAN,love
dark,true,false,false,false,false,false,false,false,false,false,WOMAN,love
field,true,false,false,false,false,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
glory,true,false,false,false,false,false,false,false,false,false,WOMAN,love
moonlight,true,false,false,false,false,false,false,false,false,false,WOMAN,love
dream,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
branche,true,false,false,false,false,false,false,false,false,false,WOMAN,love
stream,true,false,false,false,false,true,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
tree,true,false,false,false,false,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
giver,true,false,false,false,false,false,false,false,false,false,WOMAN,love
ease,true,false,false,false,false,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
kiss,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
fee,true,false,false,false,false,false,false,false,false,false,WOMAN,love
speaker,true,false,false,false,false,false,false,false,false,false,WOMAN,love
mother,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thee,true,false,false,false,false,false,false,false,false,false,WOMAN,love
bow,true,false,false,false,false,false,false,false,false,false,WOMAN,love
hath,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thou,true,false,false,false,false,false,false,false,false,false,WOMAN,love
art,true,false,false,false,false,false,false,false,false,false,WOMAN,love
thy,true,false,false,false,false,true,false,false,false,false,WOMAN,love
land,true,false,false,false,false,false,false,false,false,false,WOMAN,love
sword,true,false,false,false,false,false,false,false,false,false,WOMAN,love
flash,true,false,false,false,false,false,false,false,false,false,WOMAN,love
hand,true,false,false,false,false,false,false,false,false,false,WOMAN,love
million,true,false,false,false,false,false,false,false,false,false,WOMAN,love
