poem content,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise,age,type
"Ye learned sisters which have oftentimes
Beene to me ayding, others to adorne:
Whom ye thought worthy of your gracefull rymes,
That even the greatest did not greatly scorne
To heare theyr names sung in your simple layes,
But joyed in theyr prayse.
And when ye list your owne mishaps to mourne,
Which death, or love, or fortunes wreck did rayse,
Your string could soone to sadder tenor turne,
And teach the woods and waters to lament
Your dolefull dreriment.
Now lay those sorrowfull complaints aside,
And having all your heads with girland crownd,
Helpe me mine owne loves prayses to resound,
Ne let the same of any be envide:
So Orpheus did for his owne bride,
So I unto my selfe alone will sing,
The woods shall to me answer and my Eccho ring.

Early before the worlds light giving lampe,
His golden beame upon the hils doth spred,
Having disperst the nights unchearefull dampe,
Doe ye awake, and with fresh lusty hed,
Go to the bowre of my beloved love,
My truest turtle dove,
Bid her awake; for Hymen is awake,
And long since ready forth his maske to move,
With his bright Tead that flames with many a flake,
And many a bachelor to waite on him,
In theyr fresh garments trim.
Bid her awake therefore and soone her dight,
For lo the wished day is come at last,
That",5,sadness,0.9789839,0.001429413,0.001563793,0.001156013,0.005797562,0.007477433,0.9789839,0.003591983,Renaissance,Mythology & Folklore
"On Hellespont, guilty of true love's blood,
In view and opposite two cities stood,
Sea-borderers, disjoin'd by Neptune's might;
The one Abydos, the other Sestos hight.
At Sestos Hero dwelt; Hero the fair,
Whom young Apollo courted for her hair,
And offer'd as a dower his burning throne,
Where she could sit for men to gaze upon.
The outside of her garments were of lawn,
The lining purple silk, with gilt stars drawn;
Her wide sleeves green, and border'd with a grove,
Where Venus in her naked glory strove
To please the careless and disdainful eyes
Of proud Adonis, that before her lies;
Her kirtle blue, whereon was many a stain,
Made with the blood of wretched lovers slain.
Upon her head she ware a myrtle wreath,
From whence her veil reach'd to the ground beneath;
Her veil was artificial flowers and leaves,
Whose workmanship both man and beast deceives;
Many would praise the sweet smell as she past,
When 'twas the odour which her breath forth cast;
And there for honey bees have sought in vain,
And beat from thence, have lighted there again.
About her neck hung chains of pebble-stone,
Which lighten'd by her neck, like diamonds shone.
She ware no gloves; for neither sun nor wind
Would burn or parch her hands, but, to her mind,
Or warm or cool them, for they ",1,disgust,0.7544679,0.17520611,0.7544679,0.025787208,0.001442237,0.0136766,0.027894672,0.001525205,Renaissance,Mythology & Folklore
"By that he ended had his ghostly sermon,
The fox was well induc'd to be a parson,
And of the priest eftsoons gan to inquire,
How to a benefice he might aspire.
""Marry, there"" (said the priest) ""is art indeed:
Much good deep learning one thereout may read;
For that the ground-work is, and end of all,
How to obtain a beneficial.
First, therefore, when ye have in handsome wise
Yourself attired, as you can devise,
Then to some nobleman yourself apply,
Or other great one in the worldes eye,
That hath a zealous disposition
To God, and so to his religion.
There must thou fashion eke a godly zeal,
Such as no carpers may contrare reveal;
For each thing feigned ought more wary be.
There thou must walk in sober gravity,
And seem as saint-like as Saint Radegund:
Fast much, pray oft, look lowly on the ground,
And unto every one do courtesy meek:
These looks (nought saying) do a benefice seek,
But be thou sure one not to lack or long.
And if thee list unto the court to throng,
And there to hunt after the hoped prey,
Then must thou thee dispose another way:
For there thou needs must learn to laugh, to lie,
To face, to forge, to scoff, to company,
To crouch, to please, to be a beetle-stock
Of thy great master's will, to scorn, or mock.
So may'st thou chance mock out",2,fear,0.83474773,0.024138127,0.0190233,0.83474773,0.006109807,0.09767624,0.011607379,0.006697413,Renaissance,Mythology & Folklore
"CALM was the day, and through the trembling air
Sweet breathing Zephyrus did softly play,
A gentle spirit, that lightly did delay
Hot Titan's beams, which then did glister fair;
When I whose sullen care,
Through discontent of my long fruitless stay
In prince's court, and expectation vain
Of idle hopes, which still do fly away
Like empty shadows, did afflict my brain,
Walked forth to ease my pain
Along the shore of silver streaming Thames,
Whose rutty bank, the which his river hems,
Was painted all with variable flowers,
And all the meads adorned with dainty gems,
Fit to deck maidens' bowers,
And crown their paramours,
Against the bridal day, which is not long:
      Sweet Thames, run softly, till I end my song.

There, in a meadow, by the river's side,
A flock of nymphs I chanced to espy,
All lovely daughters of the flood thereby,
With goodly greenish locks, all loose untied,
As each had been a bride;
And each one had a little wicker basket,
Made of fine twigs, entrailed curiously,
In which they gathered flowers to fill their flasket,
And with fine fingers cropt full featously
The tender stalks on high.
Of every sort, which in that meadow grew,
They gathered some; the violet pallid blue,
The little daisy, that at evening closes,
The virgin lily, an",2,fear,0.86505675,0.004147891,0.003045552,0.86505675,0.025343042,0.018379806,0.08188996,0.002136987,Renaissance,Mythology & Folklore
"THENOT    &      HOBBINOLL
Tell me good Hobbinoll, what garres thee greete?
What? hath some Wolfe thy tender Lambes ytorne?
Or is thy Bagpype broke, that soundes so sweete?
Or art thou of thy loved lasse forlorne?

Or bene thine eyes attempred to the yeare,
Quenching the gasping furrowes thirst with rayne?
Like April shoure, so stremes the trickling teares
Adowne thy cheeke, to quenche thy thristye payne.

HOBBINOLL
Nor thys, nor that, so muche doeth make me mourne,
But for the ladde, whome long I lovd so deare,
Nowe loves a lasse, that all his love doth scorne:
He plongd in payne, his tressed locks dooth teare.

Shepheards delights he dooth them all forsweare,
Hys pleasaunt Pipe, whych made us meriment,
He wylfully hath broke, and doth forbeare
His wonted songs, wherein he all outwent.

THENOT
What is he for a Ladde, you so lament?
Ys love such pinching payne to them, that prove?
And hath he skill to make so excellent,
Yet hath so little skill to brydle love?

HOBBINOLL
Colin thou kenst, the Southerne shepheardes boye:
Him Love hath wounded with a deadly darte.
Whilome on him was all my care and joye,
Forcing with gyfts to winne his wanton heart.

But now from me hys madding mynd is starte,
And woes the Widdowes daughter of the glenne:
So nowe",5,sadness,0.3508661,0.093325496,0.018645318,0.07089706,0.033454023,0.2754509,0.3508661,0.15736115,Renaissance,Mythology & Folklore
"PIERCE       &         CUDDIE
Cuddie, for shame hold up thy heavye head,
And let us cast with what delight to chace,
And weary thys long lingring Phoebus race.
Whilome thou wont the shepheards laddes to leade,
In rymes, in ridles, and in bydding base:
Now they in thee, and thou in sleepe art dead.

CUDDY
Piers, I have pyped erst so long with payne,
That all mine Oten reedes bene rent and wore:
And my poore Muse hath spent her spared store,
Yet little good hath got, and much lesse gayne,
Such pleasaunce makes the Grashopper so poore,
And ligge so layd, when Winter doth her straine.

The dapper ditties, that I wont devise,
To feede youthes fancie, and the flocking fry,
Delighten much: what I the bett for thy?
They han the pleasure, I a sclender prise.
I beate the bush, the byrds to them doe flye:
What good thereof to Cuddie can arise?

PIERS
Cuddie, the prayse is better, then the price,
The glory eke much greater then the gayne:
O what an honor is it, to restraine
The lust of lawlesse youth with good advice:
Or pricke them forth with pleasaunce of thy vaine,
Whereto thou list their trayned willes entice.

Soone as thou gynst to sette thy notes in frame,
O how the rurall routes to thee doe cleave:
Seemeth thou dost their soule of sence bereave,
All ",5,sadness,0.45549944,0.0558328,0.03064683,0.14982133,0.13087474,0.15908247,0.45549944,0.01824241,Renaissance,Mythology & Folklore
"Go and catch a falling star,
    Get with child a mandrake root,
Tell me where all past years are,
    Or who cleft the devil's foot,
Teach me to hear mermaids singing,
Or to keep off envy's stinging,
            And find
            What wind
Serves to advance an honest mind.

If thou be'st born to strange sights,
    Things invisible to see,
Ride ten thousand days and nights,
    Till age snow white hairs on thee,
Thou, when thou return'st, wilt tell me,
All strange wonders that befell thee,
            And swear,
            No where
Lives a woman true, and fair.

If thou find'st one, let me know,
    Such a pilgrimage were sweet;
Yet do not, I would not go,
    Though at next door we might meet;
Though she were true, when you met her,
And last, till you write your letter,
            Yet she
            Will be
False, ere I come, to two, or three.





Poetry Out Loud Note: In the print anthology, this poem is titled simply ""Song."" The student may give either title during the recitation. ",2,fear,0.5037597,0.062476493,0.027293196,0.5037597,0.06523795,0.13846354,0.1415563,0.061212946,Renaissance,Mythology & Folklore
"Orpheus with his lute made trees, 
And the mountain tops that freeze, 
Bow themselves when he did sing:
To his music plants and flowers 
Ever sprung; as sun and showers 
There had made a lasting spring. 
Every thing that heard him play, 
Even the billows of the sea, 
Hung their heads, and then lay by. 
In sweet music is such art, 
Killing care and grief of heart 
Fall asleep, or hearing, die.",5,sadness,0.7890199,0.035388175,0.014954172,0.10209855,0.016636938,0.03099039,0.7890199,0.010911801,Renaissance,Mythology & Folklore
"What is your substance, whereof are you made,
That millions of strange shadows on you tend?
Since every one hath, every one, one shade,
And you, but one, can every shadow lend.
Describe Adonis, and the counterfeit
Is poorly imitated after you;
On Helen's cheek all art of beauty set,
And you in Grecian tires are painted new.
Speak of the spring and foison of the year:
The one doth shadow of your beauty show,
The other as your bounty doth appear;
And you in every blessed shape we know.
    In all external grace you have some part,
    But you like none, none you, for constant heart.",4,neutral,0.45800713,0.058337178,0.08645845,0.14416134,0.02059903,0.45800713,0.07655989,0.15587689,Renaissance,Mythology & Folklore
"Why didst thou promise such a beauteous day,
And make me travel forth without my cloak,
To let base clouds oertake me in my way,
Hiding thy bravery in their rotten smoke?
Tis not enough that through the cloud thou break,
To dry the rain on my storm-beaten face,
For no man well of such a salve can speak
That heals the wound and cures not the disgrace:
Nor can thy shame give physic to my grief;
Though thou repent, yet I have still the loss:
The offenders sorrow lends but weak relief
To him that bears the strong offences cross.
   Ah! but those tears are pearl which thy love sheds,
   And they are rich and ransom all ill deeds.
 
 
 ",5,sadness,0.8271735,0.055132218,0.05107738,0.040555913,0.007884524,0.014407688,0.8271735,0.00376883,Renaissance,Nature
"The welcome Sun from sea Freake is returned,
And cheereth with his beams the naked earth,
Which gains with his coming her apparel
And had his absence six long months mourned.
Out of her fragrant sides she sends to greet him
The rashed primrose and the violet;
While she the fields and meadows doth beset
With flowers, and hangs the trees with pearl to meet him.
Amid this hope and joy she doth forget,
To kill the hemlock which doth grow too fast,
And chill the adder making too much haste,
With his black sons revived with the heat;
     Till summer comes with diverse colours clad,
      Much like my Epigrams both good and bad.",5,sadness,0.9588492,0.001807358,0.001566465,0.00396161,0.015089945,0.01469885,0.9588492,0.004026577,Renaissance,Nature
"I met a courtier riding on the plain,
Well-mounted on a brave and gallant steed;
I sat upon a jade, and spurred to my pain
My lazy beast, whose tired sides did bleed:
He saw my case, and then of courtesy
Did rein his horse, and drew the bridle in,
Because I did desire his company:
But he corvetting way of me did win.
     What should I do, who was besteaded so?
      His horse stood still faster than mine could go.",2,fear,0.54568714,0.11192153,0.02670746,0.54568714,0.006055695,0.06275155,0.19763216,0.04924453,Renaissance,Nature
"Walking the fields a wantcatcher I spied,
To him I went, desirous of his game:
Sir, have you taken wants? Yes, he replied,
Here are a dozen, which were lately taen.
Then you have left no more. No more? quoth he.
Sir I can show you more: the more the worse;
And to his work he went, but 'twould not be,
For all the wants were crept into my purse.
     Farewell friend wantcatcher, since 'twill not be,
     Thou cannot catch the wants, but they catch me.",5,sadness,0.67691547,0.0843377,0.028276358,0.14503424,0.027957706,0.023842413,0.67691547,0.013636143,Renaissance,Nature
"Fishing, if I a fisher may protest,
Of pleasures is the sweetest, of sports the best,
Of exercises the most excellent.
Of recreations the most innocent.
But now the sport is marred, and what, ye, why?
Fishes decrease, and fishers multiply.",5,sadness,0.49931893,0.16323632,0.22305277,0.009157649,0.009843458,0.076222874,0.49931893,0.019168107,Renaissance,Nature
"Come darkest night, becoming sorrow best;
    Light; leave thy light; fitt for a lightsome soule;
    Darknes doth truly sure with mee oprest
    Whom absence power doth from mirthe controle:

The very trees with hanging heads condole
    Sweet sommers parting, and of leaves distrest
    In dying coulers make a griefe-full role;
    Soe much (alas) to sorrow are they prest,

Thus of dead leaves her farewell carpetts made:
    Theyr fall, theyr branches, all theyr mournings prove;
    With leavles, naked bodies, whose huese vade
    From hopefull greene, to wither in theyr love,

If trees, and leaves for absence, mourners bee
Noe mervaile that I grieve, who like want see.",5,sadness,0.9863613,0.001114342,0.000555517,0.00198455,0.00379747,0.002905593,0.9863613,0.003281246,Renaissance,Nature
"Januarie. gloga prima. ARGVMENT.

    IN this fyrst glogue Colin clout a shepheardes boy complaineth him of his vnfortunate loue, being but newly (as semeth) enamoured of a countrie lasse called Rosalinde: with which strong affection being very sore traueled, he compareth his carefull case to the sadde season of the yeare, to the frostie ground, to the frosen trees, and to his owne winterbeaten flocke. And lastlye, fynding himselfe robbed of all former pleasaunce and delights, hee breaketh his Pipe in peeces, and casteth him selfe to the ground.


COLIN Cloute.


A Shepeheards boye (no better doe him call)
when Winters wastful spight was almost spent,
All in a sunneshine day, as did befall,
Led forth his flock, that had been long ypent.
So faynt they woxe, and feeble in the folde,
That now vnnethes their feete could them vphold.


All as the Sheepe, such was the shepeheards looke,
For pale and wanne he was, (alas the while,)
May seeme he lovd, or els some care he tooke:
Well couth he tune his pipe, and frame his stile.
Tho to a hill his faynting flocke he ledde,
And thus him playnd, the while his shepe there fedde.


Ye gods of loue, that pitie louers payne,
(if any gods the paine of louers pitie:)
Looke from aboue, where you in ioyes remaine,
And bowe ",5,sadness,0.46473804,0.3593817,0.010176388,0.094412744,0.03229734,0.020138763,0.46473804,0.018855043,Renaissance,Nature
"Where the bee sucks, there suck I:
In a cowslips bell I lie;
There I couch when owls do cry.
On the bats back I do fly
After summer merrily.   
Merrily, merrily shall I live now
Under the blossom that hangs on the bough.",5,sadness,0.86180305,0.009453331,0.03808358,0.00774908,0.025415896,0.043539822,0.86180305,0.013955242,Renaissance,Nature
"Tis true, tis day, what though it be?
O wilt thou therefore rise from me?
Why should we rise because tis light?
Did we lie down because twas night?
Love, which in spite of darkness brought us hither,
Should in despite of light keep us together.

Light hath no tongue, but is all eye;
If it could speak as well as spy,
This were the worst that it could say,
That being well I fain would stay,
And that I loved my heart and honour so,
That I would not from him, that had them, go.

Must business thee from hence remove?
Oh, thats the worst disease of love,
The poor, the foul, the false, love can
Admit, but not the busied man.
He which hath business, and makes love, doth do
Such wrong, as when a married man doth woo.",1,disgust,0.76626426,0.11475197,0.76626426,0.046325557,0.002775067,0.018765615,0.048796035,0.002321533,Renaissance,Nature
"As I in hoary winters night stood shivering in the snow,
Surprisd I was with sudden heat which made my heart to glow;
And lifting up a fearful eye to view what fire was near,
A pretty Babe all burning bright did in the air appear;
Who, scorched with excessive heat, such floods of tears did shed
As though his floods should quench his flames which with his tears were fed.
Alas! quoth he, but newly born, in fiery heats I fry,
Yet none approach to warm their hearts or feel my fire but I!
My faultless breast the furnace is, the fuel wounding thorns,
Love is the fire, and sighs the smoke, the ashes shame and scorns;
The fuel Justice layeth on, and Mercy blows the coals,
The metal in this furnace wrought are mens defiled souls,
For which, as now on fire I am to work them to their good,
      So will I melt into a bath to wash them in my blood.
      With this he vanishd out of sight and swiftly shrunk away,
      And straight I called unto mind that it was Christmas day.",2,fear,0.98224306,0.006270697,0.000842373,0.98224306,0.001182706,0.001590852,0.003877021,0.003993346,Renaissance,Nature
"Care for thy soul as thing of greatest price,
      Made to the end to taste of power divine,
Devoid of guilt, abhorring sin and vice,
      Apt by Gods grace to virtue to incline.
Care for it so as by thy retchless train
It be not brought to taste eternal pain.

Care for thy corse, but chiefly for souls sake;
      Cut off excess, sustaining food is best;
To vanquish pride but comely clothing take;
      Seek after skill, deep ignorance detest.
Care so, I say, the flesh to feed and clothe
That thou harm not thy soul and body both.

Care for the world to do thy body right;
      Rack not thy wit to win thy wicked ways;
Seek not to oppress the weak by wrongful might;
      To pay thy due do banish all delays.
Care to dispend according to thy store,
And in like sort be mindful of the poor.

Care for thy soul, as for thy chiefest stay;
      Care for thy body for thy souls avail;
Care for the world for bodys help alway;
      Care yet but so as virtue may prevail.
Care in such sort that thou be sure of this:
Care keep thee not from heaven and heavenly bliss.",5,sadness,0.606267,0.058556102,0.09075333,0.14099364,0.024269417,0.07581,0.606267,0.003350564,Renaissance,Nature
"The doubt of future foes exiles my present joy,
And wit me warns to shun such snares as threaten mine annoy;
For falsehood now doth flow, and subjects faith doth ebb,
Which should not be if reason ruled or wisdom weaved the web.
But clouds of joys untried do cloak aspiring minds,
Which turn to rain of late repent by changed course of winds.
The top of hope supposed the root upreared shall be,
And fruitless all their grafted guile, as shortly ye shall see.
The dazzled eyes with pride, which great ambition blinds,
Shall be unsealed by worthy wights whose foresight falsehood finds.
The daughter of debate that discord aye doth sow
Shall reap no gain where former rule still peace hath taught to know.
No foreign banished wight shall anchor in this port;
Our realm brooks not seditious sects, let them elsewhere resort.
My rusty sword through rest shall first his edge employ
To poll their tops that seek such change or gape for future joy.",2,fear,0.48446983,0.12658742,0.012293185,0.48446983,0.04520442,0.11198955,0.21522103,0.004234561,Renaissance,Nature
"Fie pleasure, fie! thou cloyest me with delight,
Thou fillst my mouth with sweetmeats overmuch;
I wallow still in joy both day and night:
I deem, I dream, I do, I taste, I touch,
No thing but all that smells of perfect bliss;
Fie pleasure, fie! I cannot like of this.

   To taste (sometimes) a bait of bitter gall,
To drink a draught of sour ale (some season)
To eat brown bread with homely hands in hall,
Doth much increase mens appetites, by reason,
And makes the sweet more sugard that ensues,
Since minds of men do still seek after news.

   The pamperd horse is seldom seen in breath,
Whose manger makes his grace (oftimes) to melt;
The crammed fowl comes quickly to his death;
Such colds they catch in hottest haps that swelt;
And I (much like) in pleasure scawled still,
Do fear to starve although I feed my fill.

   It might suffice that Love hath built his bower
Between my ladys lively shining eyes;
It were enough that beautys fading flower
Grows ever fresh with her in heavenly wise;
It had been well that she were fair of face,
And yet not rob all other dames of grace.

   To muse in mind, how wise, how fair, how good,
How brave, how frank, how courteous, and how true
My lady is, doth but inflame my blood
With humours such as bid my health adieu;
Si",3,joy,0.9432563,0.004874013,0.006278632,0.009114236,0.9432563,0.00998345,0.024905458,0.001587893,Renaissance,Nature
"Green groweth the holly,
So doth the ivy.
Though winter blasts blow never so high,
Green groweth the holly.

As the holly groweth green
And never changeth hue,
So I am, ever hath been,
Unto my lady true.

As the holly groweth green
With ivy all alone
When flowers cannot be seen
And greenwood leaves be gone,

Now unto my lady
Promise to her I make,
From all other only
To her I me betake.

Adieu, mine own lady,
Adieu, my special
Who hath my heart truly
Be sure, and ever shall.",5,sadness,0.86001325,0.034284122,0.01911789,0.012303145,0.011534858,0.05449609,0.86001325,0.008250681,Renaissance,Nature
"Lucks, my fair falcon, and your fellows all,
   How well pleasant it were your liberty!
Ye not forsake me that fair might ye befall.
But they that sometime liked my company:
Like lice away from dead bodies they crawl.
Lo what a proof in light adversity!
But ye my birds, I swear by all your bells,
Ye be my friends, and so be but few else.",5,sadness,0.2608996,0.0685468,0.03998946,0.24252383,0.20119122,0.15402214,0.2608996,0.032826975,Renaissance,Nature
"If all the world and love were young,
And truth in every Shepherds tongue,
These pretty pleasures might me move,
To live with thee, and be thy love.

Time drives the flocks from field to fold,
When Rivers rage and Rocks grow cold,
And Philomel becometh dumb,
The rest complains of cares to come.

The flowers do fade, and wanton fields,
To wayward winter reckoning yields,
A honey tongue, a heart of gall,
Is fancys spring, but sorrows fall.

Thy gowns, thy shoes, thy beds of Roses,
Thy cap, thy kirtle, and thy posies
Soon break, soon wither, soon forgotten:
In folly ripe, in reason rotten.

Thy belt of straw and Ivy buds,
The Coral clasps and amber studs,
All these in me no means can move
To come to thee and be thy love.

But could youth last, and love still breed,
Had joys no date, nor age no need,
Then these delights my mind might move
To live with thee, and be thy love.",5,sadness,0.86622083,0.09022778,0.009286306,0.004476463,0.00438951,0.021076743,0.86622083,0.004322372,Renaissance,Nature
"Gut eats all day and lechers all the night;
So all his meat he tasteth over twice;
And, striving so to double his delight,
He makes himself a thoroughfare of vice.
Thus in his belly can he change a sin:
Lust it comes out, that gluttony went in.",1,disgust,0.9206772,0.023302263,0.9206772,0.003138875,0.00199914,0.0382851,0.011053817,0.001543476,Renaissance,Nature
